Model,Embedding,Epochs,Best Val Acc,Final Val Acc,Overfitting,Stability
MLP Baseline,One-Hot,77,0.664,0.649,-0.026,0.989
MLP Baseline,ESM,34,0.722,0.721,-0.024,0.979
Original GraphSAGE,One-Hot,22,0.551,0.551,0.000,1.000
Original GraphSAGE,ESM,70,0.722,0.707,0.007,0.991
Improved GraphSAGE,One-Hot,80,0.815,0.796,0.062,0.985
Improved GraphSAGE,ESM,80,0.848,0.832,0.062,0.994
Performance Booster,One-Hot,26,0.654,0.579,0.010,0.935
Performance Booster,ESM,51,0.705,0.636,0.039,0.972
Accuracy Optimized,One-Hot,39,0.686,0.671,0.009,0.993
Accuracy Optimized,ESM,31,0.724,0.713,-0.003,0.994
